dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['quack_federation_governance.md'],f_easy_currency,0.00062125,True,gemini-3.1-flash-lite,3,2.7e-05,What is the basic currency of the Quack-Federa-tion and how is it subdivided?,factual,"['quack_federation_governance.md', 'quack_federation_governance.md', 'species_compendium.md']","[0.8017, 0.7879, 0.7835]",3,0.00064825
ducks,,['quack_federation_governance.md'],f_easy_council_size,0.000552,True,gemini-3.1-flash-lite,3,1.8e-05,How many seats does the Tide Council have in total?,factual,"['quack_federation_governance.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.7747, 0.7536, 0.7429]",3,0.00057
ducks,,['quack_federation_governance.md'],f_easy_five_departments,0.000652,True,gemini-3.1-flash-lite,3,0.000165,What are the five Departments that the Hydromarch presides over?,factual,"['quack_federation_governance.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7886, 0.7696, 0.764]",3,0.000817
ducks,,['species_compendium.md'],f_easy_duck_lifespan,0.0008205,True,gemini-3.1-flash-lite,3,2.1e-05,What is the average lifespan of a Duck in standard cycles?,factual,"['species_compendium.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7714, 0.7587, 0.7513]",3,0.0008415
ducks,,['species_compendium.md'],f_easy_echo_folk_comms,0.00061875,True,gemini-3.1-flash-lite,3,4.2e-05,How do the Echo-Folk communicate and where do they live?,factual,"['species_compendium.md', 'duck_technology.md', 'isoprene_planetary_survey.md']","[0.7625, 0.7502, 0.7463]",3,0.0006607500000000001
ducks,,['isoprene_planetary_survey.md'],f_easy_splashport_pop,0.0008095,True,gemini-3.1-flash-lite,3,4.8e-05,What is the population of Splashport and where is the city located?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.769, 0.7618, 0.7472]",3,0.0008575
ducks,,['isoprene_planetary_survey.md'],f_easy_polymer_share,0.000634,True,gemini-3.1-flash-lite,3,2.85e-05,What share of Isoprene's economy is accounted for by polymer extraction and processing?,factual,"['isoprene_planetary_survey.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.8011, 0.7947, 0.778]",3,0.0006625
ducks,,['isoprene_planetary_survey.md'],f_easy_buoyant_capacity,0.00052175,True,gemini-3.1-flash-lite,3,3.0000000000000004e-05,What is the sustained capital-vessel construction capacity of the Buoyant Yards per cycle?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7915, 0.78, 0.778]",3,0.0005517499999999999
ducks,,['isoprene_planetary_survey.md'],f_easy_way_of_tides_pct,0.00081,True,gemini-3.1-flash-lite,3,5.1e-05,What percentage of Isoprene's population practices the Way of the Tides?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7906, 0.7723, 0.7721]",3,0.000861
ducks,,['duck_wars_extended_history.md'],f_med_battlebill,0.000458,True,gemini-3.1-flash-lite,3,0.0001185,What was the Mark-VII Battlebill and what wartime problem did it solve?,factual,"['the_duck_wars.md', 'duck_technology.md', 'duck_wars_extended_history.md']","[0.7667, 0.7433, 0.7422]",3,0.0005765
ducks,,['duck_wars_extended_history.md'],f_med_loofah_accord_year,0.00057325,True,gemini-3.1-flash-lite,3,2.7e-05,In what standard cycle was the Loofah Accord signed?,factual,"['duck_wars_extended_history.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.7834, 0.7653, 0.7614]",3,0.00060025
ducks,,['duck_wars_extended_history.md'],f_med_long_withdrawal,0.000481,True,gemini-3.1-flash-lite,3,3.6e-05,What was the Long Withdrawal and which worlds anchored the resulting defensive arc?,factual,"['the_duck_wars.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.7816, 0.772, 0.7666]",3,0.000517
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_act,0.00055725,True,gemini-3.1-flash-lite,3,9.6e-05,"What does the Reedwater Conservation Act protect, and roughly how many harvesting licenses are issued per cycle?",factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7657, 0.7565, 0.7552]",3,0.00065325
ducks,,['isoprene_planetary_survey.md'],f_med_stillwater_protocol,0.00042075,True,gemini-3.1-flash-lite,3,7.950000000000001e-05,What is the Stillwater Protocol and what is the designated primary continuity-of-government site?,factual,"['isoprene_planetary_survey.md', 'duck_wars_extended_history.md', 'quack_federation_governance.md']","[0.8105, 0.7731, 0.7464]",3,0.00050025
ducks,,['isoprene_planetary_survey.md'],f_med_trans_continental_canal,0.00055775,True,gemini-3.1-flash-lite,3,4.2e-05,How long is the Trans-Continental Canal and what does it connect?,factual,"['isoprene_planetary_survey.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.7371, 0.7262, 0.7116]",3,0.00059975
ducks,,['quack_federation_governance.md'],f_med_first_paddler,0.00055325,True,gemini-3.1-flash-lite,3,3.6e-05,Who currently holds the office of First Paddler and which Paddle is she from?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.7807, 0.7532, 0.7498]",3,0.00058925
ducks,,['quack_federation_governance.md'],f_med_hydromarch_term,0.000421,True,gemini-3.1-flash-lite,3,2.7e-05,"How long is the Hydromarch's term of office, and may they be reappointed?",factual,"['duck_wars_extended_history.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7778, 0.7653, 0.7395]",3,0.000448
ducks,,['quack_federation_governance.md'],f_med_ripple_protocol,0.0006395,True,gemini-3.1-flash-lite,3,6.75e-05,What is the Ripple Protocol and how many readings does a Council proposal require?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7566, 0.754, 0.7297]",3,0.000707
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_league,0.000818,True,gemini-3.1-flash-lite,3,9e-05,What was the Reedwater League and which modern Federation institution traces direct descent from its Council of Reedmasters?,factual,"['isoprene_planetary_survey.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.8282, 0.7816, 0.7732]",3,0.0009080000000000001
ducks,,['species_compendium.md'],f_med_mistral_wisps,0.00034375,True,gemini-3.1-flash-lite,3,0.0001275,What are Mistral Wisps and how does their emergent cognition arise and persist?,factual,"['species_compendium.md', 'duck_technology.md', 'duck_wars_extended_history.md']","[0.7768, 0.7507, 0.7486]",3,0.00047125
ducks,,['species_compendium.md'],f_med_precursor_tier,0.000391,True,gemini-3.1-flash-lite,3,4.9500000000000004e-05,How does the Office of Xenology classify Precursor artifacts and what must be done when one is recovered?,factual,"['species_compendium.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.7915, 0.7769, 0.7582]",3,0.00044050000000000003
ducks,,['duck_wars_extended_history.md'],f_med_pondreader_framework,0.00058325,True,gemini-3.1-flash-lite,3,0.0001005,What did Doctora-Hen Pondreader argue was the true nature of Spong chemical signaling?,factual,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'species_compendium.md']","[0.7638, 0.7433, 0.7342]",3,0.00068375
ducks,,['duck_wars_extended_history.md'],f_med_first_splish_splash,0.00063475,True,gemini-3.1-flash-lite,3,9.6e-05,"When did open war begin between the Federation and the Spong, and what was lost in the initial engagement?",factual,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8552, 0.8191, 0.7997]",3,0.0007307500000000001
ducks,,['isoprene_planetary_survey.md'],f_med_glassine_uni_year,0.00079975,True,gemini-3.1-flash-lite,3,2.7e-05,In what cycle was the University of Glassine founded?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7494, 0.7157, 0.711]",3,0.00082675
ducks,,['galactic_gazetteer.md'],f_hard_squeak_minor_vs_others,0.0004405,True,gemini-3.1-flash-lite,3,5.1e-05,Why does any movement on the surface of Squeak Minor generate high-pitched squeaking sounds?,factual,"['duck_technology.md', 'galactic_gazetteer.md', 'the_duck_wars.md']","[0.775, 0.7592, 0.7529]",3,0.0004915
ducks,,['duck_technology.md'],f_hard_bubble_disambiguation,0.00034275,True,gemini-3.1-flash-lite,3,6e-06,Which Federation defensive technology works by absorbing energy in a layered field that 'pops' on impact?,factual,"['duck_technology.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.8241, 0.7924, 0.7863]",3,0.00034875
ducks,,['isoprene_planetary_survey.md'],f_hard_hardshell_squeakish,0.000344,False,gemini-3.1-flash-lite,3,2.7e-05,Which Paddle dialect is so divergent that some linguists classify it as a separate language?,factual,"['species_compendium.md', 'duck_wars_extended_history.md', 'duck_technology.md']","[0.7463, 0.7392, 0.7262]",3,0.000371
ducks,,['species_compendium.md'],f_hard_bristlers_reclassified,0.00077775,True,gemini-3.1-flash-lite,3,4.35e-05,"In what cycle were the Bristlers of Bristle reclassified as potentially sapient, and who led the work?",factual,"['species_compendium.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.8084, 0.792, 0.7794]",3,0.00082125
ducks,,['quack_federation_governance.md'],f_hard_treaty_long_hum,0.000383,True,gemini-3.1-flash-lite,3,9.449999999999999e-05,What is the Treaty of the Long Hum and what unique citizenship arrangement did it establish?,factual,"['duck_wars_extended_history.md', 'quack_federation_governance.md', 'the_duck_wars.md']","[0.7606, 0.7594, 0.7509]",3,0.00047749999999999995
ducks,,['duck_wars_extended_history.md'],f_hard_first_year_losses,0.000634,True,gemini-3.1-flash-lite,3,2.4e-05,Approximately how many capital vessels did the Federation lose in the first cycle of the Great Duck Wars?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.8239, 0.8221, 0.8158]",3,0.0006580000000000001
ducks,,['duck_wars_extended_history.md'],f_hard_glossy_feather,0.000377,True,gemini-3.1-flash-lite,3,4.8e-05,"Which survey vessel produced the first hint that the Sudsy Reaches contained intelligence, and how long did the report sit in the archive?",factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'the_duck_wars.md']","[0.802, 0.7721, 0.765]",3,0.00042500000000000003
ducks,,"['quack_federation_governance.md', 'isoprene_planetary_survey.md']",f_hard_council_platform,0.00055125,True,gemini-3.1-flash-lite,3,3.0000000000000004e-05,Where does the Tide Council physically convene?,factual,"['quack_federation_governance.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.7789, 0.7776, 0.736]",3,0.00058125
ducks,,['isoprene_planetary_survey.md'],f_hard_squeak_grass,0.000778,True,gemini-3.1-flash-lite,3,3.45e-05,Which species of Isoprene grass produces audible high-frequency tones when disturbed by wind?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'species_compendium.md']","[0.7608, 0.7457, 0.7382]",3,0.0008125000000000001
ducks,,['isoprene_planetary_survey.md'],f_hard_golden_ripple,0.00035575,True,gemini-3.1-flash-lite,3,6.15e-05,What is the Golden Ripple and what role does it play in Squeakish architecture?,factual,"['isoprene_planetary_survey.md', 'duck_technology.md', 'duck_wars_extended_history.md']","[0.7785, 0.7707, 0.7549]",3,0.00041725
ducks,,"['isoprene_planetary_survey.md', 'duck_wars_extended_history.md']",m_waddles_birth_and_role,0.000635,False,gemini-3.1-flash-lite,3,0.00015000000000000001,"Where was Commodore Waddles born, and what was his decisive contribution to the Battle of the Loofah Line?",multi_hop,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.8048, 0.7754, 0.7663]",3,0.0007850000000000001
ducks,,"['species_compendium.md', 'duck_wars_extended_history.md']",m_pondreader_and_spong_biology,0.0005135,True,gemini-3.1-flash-lite,3,0.0001575,"How does Spong chemical signaling actually work biologically, and how did Pondreader reinterpret what it meant?",multi_hop,"['duck_wars_extended_history.md', 'species_compendium.md', 'duck_wars_extended_history.md']","[0.7593, 0.7414, 0.7321]",3,0.0006709999999999999
ducks,,"['isoprene_planetary_survey.md', 'quack_federation_governance.md']",m_polymer_industry_and_compact,0.00063625,True,gemini-3.1-flash-lite,3,5.85e-05,"How large is Isoprene's polymer industry as a share of its economy, and what compact regulates harvesting to ensure forest sustainability?",multi_hop,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7999, 0.7966, 0.7868]",3,0.00069475
ducks,,"['quack_federation_governance.md', 'duck_wars_extended_history.md']",m_wave_rider_post_war,0.0006565,False,gemini-3.1-flash-lite,3,0.0001215,"What political status do the Wave-Rider city-states hold within the Federation, and what diplomatic role do they play between the Federation and the Spong?",multi_hop,"['quack_federation_governance.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7979, 0.7937, 0.7849]",3,0.0007779999999999999
ducks,,"['duck_wars_extended_history.md', 'isoprene_planetary_survey.md']",m_battlebill_lineage,0.00030825,False,gemini-3.1-flash-lite,3,6.15e-05,"What wartime need produced the Mark-VII Battlebill, and what heavy capital vessel program is currently being built by its successors at the Buoyant Yards?",multi_hop,"['quack_federation_governance.md', 'the_duck_wars.md', 'duck_technology.md']","[0.7881, 0.7754, 0.7746]",3,0.00036974999999999996
ducks,,"['quack_federation_governance.md', 'species_compendium.md']",m_echo_folk_collective_seat,0.00079825,True,gemini-3.1-flash-lite,3,0.000126,"How are the Echo-Folk represented in the Tide Council, and what does their collective citizenship arrangement mean biologically?",multi_hop,"['quack_federation_governance.md', 'species_compendium.md', 'isoprene_planetary_survey.md']","[0.7955, 0.7767, 0.7632]",3,0.00092425
ducks,,"['galactic_gazetteer.md', 'duck_technology.md']",m_squeak_drive_origin,0.00044375,True,gemini-3.1-flash-lite,3,9.749999999999998e-05,"Which moon's natural acoustic phenomenon inspired the Squeak Drive, and what does the Squeak Drive itself do to a starship's water exhaust?",multi_hop,"['duck_technology.md', 'galactic_gazetteer.md', 'the_duck_wars.md']","[0.8095, 0.7838, 0.7747]",3,0.0005412500000000001
ducks,,"['galactic_gazetteer.md', 'duck_wars_extended_history.md']",m_loofah_geography_battle,0.00063575,False,gemini-3.1-flash-lite,3,0.000135,"What kind of material makes up the Loofah Line, and why was driving the Spong fleet into it militarily decisive?",multi_hop,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.8132, 0.7952, 0.781]",3,0.0007707500000000001
ducks,,"['galactic_gazetteer.md', 'isoprene_planetary_survey.md']",m_elastos_processing,0.0006595,False,gemini-3.1-flash-lite,3,0.0001785,"What material does the Federation harvest on Elastos, and where on Isoprene is that material further compounded for industrial use?",multi_hop,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.8153, 0.81, 0.7856]",3,0.000838
ducks,,"['species_compendium.md', 'quack_federation_governance.md']",m_paddles_council_voting,0.0005535,False,gemini-3.1-flash-lite,3,2.4e-05,How many Paddles exist and how many seats does each hold in the Tide Council?,multi_hop,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.7959, 0.7628, 0.759]",3,0.0005775
ducks,,"['duck_wars_extended_history.md', 'species_compendium.md']",m_drainer_against_spong_biology,0.00046,False,gemini-3.1-flash-lite,3,0.0001035,"Why was the Drainer weapon initially so effective against Federation ships, given the colonial body structure of the Spong themselves?",multi_hop,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_technology.md']","[0.793, 0.7852, 0.7749]",3,0.0005635
ducks,,"['galactic_gazetteer.md', 'species_compendium.md']",m_bar_precursor,0.000785,True,gemini-3.1-flash-lite,3,0.0001515,"What is the Bar, and how is it classified under the Office of Xenology's significance tiers?",multi_hop,"['species_compendium.md', 'galactic_gazetteer.md', 'galactic_gazetteer.md']","[0.7797, 0.7561, 0.755]",3,0.0009365
ducks,,"['isoprene_planetary_survey.md', 'quack_federation_governance.md']",m_reedwater_league_ancestry,0.00078625,True,gemini-3.1-flash-lite,3,0.0002745,"Which pre-Federation polity is the institutional ancestor of the Tide Council, and how is the modern Council composed?",multi_hop,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'species_compendium.md']","[0.8051, 0.805, 0.7648]",3,0.00106075
ducks,,"['isoprene_planetary_survey.md', 'species_compendium.md']",m_bristlers_pendweather,0.000777,True,gemini-3.1-flash-lite,3,8.099999999999999e-05,"What protocol governs Federation contact with Bristle, and what underlying behavior of the Bristlers prompted it?",multi_hop,"['species_compendium.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.7987, 0.7844, 0.7772]",3,0.000858
ducks,,"['isoprene_planetary_survey.md', 'quack_federation_governance.md']",m_sap_drinker_polymer,0.00069225,True,gemini-3.1-flash-lite,3,9.15e-05,"What is the dominant tree species of the Isoprene polymer forests, and what is its sap used for at a Federation-wide level?",multi_hop,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'quack_federation_governance.md']","[0.8146, 0.795, 0.7945]",3,0.00078375
ducks,,"['isoprene_planetary_survey.md', 'quack_federation_governance.md']",m_first_squadron_doctrine,0.00024625,False,gemini-3.1-flash-lite,3,9e-05,"Where is the First Squadron based, and what has been the Fleet's standing doctrine since the Battle of the Loofah Line?",multi_hop,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'quack_federation_governance.md']","[0.7884, 0.7881, 0.7778]",3,0.00033625
ducks,,"['duck_wars_extended_history.md', 'isoprene_planetary_survey.md']",m_waddles_legacy,0.000611,False,gemini-3.1-flash-lite,3,6.3e-05,"What did Commodore Waddles do after retiring, and what is his canonical written work?",multi_hop,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.7614, 0.7537, 0.751]",3,0.000674
ducks,,"['duck_wars_extended_history.md', 'quack_federation_governance.md']",m_stillwater_lineage,0.0003765,False,gemini-3.1-flash-lite,3,6.3e-05,"Which Hydromarch promoted Waddles to operational command during the war, and which current Hydromarch shares his Paddle name?",multi_hop,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.7894, 0.7776, 0.7721]",3,0.0004395
ducks,,[],o_hydromarch_salary,0.0005525,False,gemini-3.1-flash-lite,3,2.25e-05,What is the annual salary of the Hydromarch in Drops?,out_of_scope,"['quack_federation_governance.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.7438, 0.7383, 0.7334]",3,0.000575
ducks,,[],o_spong_population,0.00068925,False,gemini-3.1-flash-lite,3,3.15e-05,What is the total population of the Absorbant Empire of Spong?,out_of_scope,"['isoprene_planetary_survey.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7477, 0.7456, 0.745]",3,0.0007207499999999999
ducks,,[],o_precursor_morphology,0.000412,False,gemini-3.1-flash-lite,3,3.6e-05,What did the Precursors look like physically?,out_of_scope,"['species_compendium.md', 'duck_technology.md', 'the_duck_wars.md']","[0.7818, 0.7591, 0.7572]",3,0.000448
ducks,,[],o_wisp_memory_mechanism,0.00034425,False,gemini-3.1-flash-lite,3,4.9500000000000004e-05,By what biological mechanism do Mistral Wisps retain memory across dispersal and re-formation?,out_of_scope,"['species_compendium.md', 'duck_wars_extended_history.md', 'duck_technology.md']","[0.7542, 0.7434, 0.7379]",3,0.00039375
ducks,,[],o_suds_post_armistice,0.000382,False,gemini-3.1-flash-lite,3,6.15e-05,What happened to Admiral Suds after he was returned to Spong custody under the Loofah Accord?,out_of_scope,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.7942, 0.7845, 0.7625]",3,0.0004435
ducks,,[],o_vice_hydromarch,0.000583,False,gemini-3.1-flash-lite,3,8.099999999999999e-05,Who is the current Vice-Hydromarch of the Quack-Federa-tion?,out_of_scope,"['quack_federation_governance.md', 'species_compendium.md', 'duck_technology.md']","[0.8076, 0.7852, 0.7851]",3,0.000664
ducks,,[],o_current_spong_leaders,0.0002435,False,gemini-3.1-flash-lite,3,6.3e-05,Who currently leads the Absorbant Empire of Spong's military forces?,out_of_scope,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'quack_federation_governance.md']","[0.7824, 0.7542, 0.749]",3,0.0003065
ducks,,[],o_splashport_uni_year,0.00079675,False,gemini-3.1-flash-lite,3,2.7e-05,In what cycle was the University of Splashport founded?,out_of_scope,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7579, 0.7339, 0.7309]",3,0.00082375
ducks,,[],o_riverdrake_population,0.0008015,False,gemini-3.1-flash-lite,3,3.45e-05,How many Riverdrakes are estimated to remain in the wild on Isoprene?,out_of_scope,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'species_compendium.md']","[0.7827, 0.7534, 0.7513]",3,0.000836
ducks,,[],o_paddle_populations,0.00082775,False,gemini-3.1-flash-lite,3,7.65e-05,What is the population of each of the thirteen Paddles?,out_of_scope,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7798, 0.7768, 0.7728]",3,0.00090425
ducks,,[],o_hydromarch_age,0.00058775,False,gemini-3.1-flash-lite,3,9.300000000000001e-05,"How old is the current Hydromarch, Plumage Stillwater?",out_of_scope,"['duck_wars_extended_history.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7521, 0.7405, 0.7328]",3,0.0006807499999999999
ducks,,[],o_mark_v_failure_rate,0.00028025,False,gemini-3.1-flash-lite,3,3.15e-05,What is the operational failure rate of the Mark-V Bubble Shield?,out_of_scope,"['isoprene_planetary_survey.md', 'duck_wars_extended_history.md', 'quack_federation_governance.md']","[0.7654, 0.7406, 0.7399]",3,0.00031175
ducks,,[],o_next_council_election,0.00057525,False,gemini-3.1-flash-lite,3,6.000000000000001e-05,What is the date of the next Tide Council general election?,out_of_scope,"['duck_wars_extended_history.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7666, 0.7545, 0.7114]",3,0.0006352500000000001
ducks,,[],o_federation_total_population,0.000797,False,gemini-3.1-flash-lite,3,7.35e-05,What is the total population of the Quack-Federa-tion across all worlds?,out_of_scope,"['species_compendium.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7923, 0.7856, 0.7794]",3,0.0008705
ducks,,[],o_glossy_feather_fate,0.000381,False,gemini-3.1-flash-lite,3,5.5499999999999994e-05,What ultimately became of the survey vessel Glossy Feather after it filed its curiosity report?,out_of_scope,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.7663, 0.7633, 0.7617]",3,0.0004365
